Level1,Level2,Level3,Level4,Level5,Level6,Level1CN,Level2CN,Level3CN,Level4CN,Level5CN,Level6CN
II. What Should the United States Want?,1. What Do We Want Overall?,"We want full control over our borders, over our immigration system, and over transportation networks through which people come into our country—legally and illegally. We want a world in which migration is not merely “orderly” but one in which sovereign countries work together to stop rather than facilitate destabilizing population flows, and have full control over whom they do and do not admit. ",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,我们希望完全掌控边境、移民系统以及人们合法和非法进入我国的交通网络。我们想要一个移民不仅“有序”，而且主权国家携手合作，阻止而非助长破坏稳定的移民流动，并完全自主决定允许和禁止哪些人入境的世界。,,,
II. What Should the United States Want?,1. What Do We Want Overall?,"We want a resilient national infrastructure that can withstand natural disasters, resist and thwart foreign threats, and prevent or mitigate any events that might harm the American people or disrupt the American economy. No adversary or danger should be able to hold America at risk. ",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,我们希望拥有能够抵御自然灾害、抵御和挫败外国威胁、预防或减轻任何可能损害美国人民或扰乱美国经济的事件的强大国家基础设施。任何敌人或危险都不应能够威胁到美国。,,,
II. What Should the United States Want?,1. What Do We Want Overall?,"We want to recruit, train, equip, and field the world’s most powerful, lethal, and technologically advanced military to protect our interests, deter wars, and—if necessary—win them quickly and decisively, with the lowest possible casualties to our forces. And we want a military in which every single servicemember is proud of their country and confident in their mission. ",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,我们希望招募、训练、装备并部署世界上最强大、最具杀伤力、技术最先进的军队，以保护我们的利益，遏制战争，并在必要时迅速果断地赢得战争，同时尽可能减少我方人员伤亡。我们希望军队中的每一位军人都为自己的国家感到自豪，并对自己的使命充满信心。,,,
II. What Should the United States Want?,1. What Do We Want Overall?,"We want the world’s most robust, credible, and modern nuclear deterrent, plus next-generation missile defenses—including a Golden Dome for the American homeland—to protect the American people, American assets overseas, and American allies. ",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,我们希望拥有世界上最强大、最可靠、最现代化的核威慑力量，以及下一代导弹防御系统——包括美国本土的“金顶”防御系统——以保护美国人民、美国海外资产和美国盟友。,,,
II. What Should the United States Want?,1. What Do We Want Overall?,"We want the world’s strongest, most dynamic, most innovative, and most advanced economy. The U.S. economy is the bedrock of the American way of life, which promises and delivers widespread and broad-based prosperity, creates upward mobility, and rewards hard work. Our economy is also the bedrock of our global position and the necessary foundation of our military. ",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,我们想要拥有世界上最强大、最具活力、最具创新力和最先进的经济体。美国经济是美国生活方式的基石，它承诺并实现了广泛而深远的繁荣，创造了向上流动的机会，并奖励辛勤工作。我们的经济也是我们全球地位的基石，以及我们军队的必要基础。,,,
II. What Should the United States Want?,1. What Do We Want Overall?,We want the world’s most robust industrial base. American national power depends on a strong industrial sector capable of meeting both peacetime and wartime production demands. That requires not only direct defense industrial production capacity but also defense-related production capacity. Cultivating American industrial strength must become the highest priority of national economic policy.,,,,二、美国应该想要什么？,1. 我们总体上想要什么？,我们想要拥有世界上最强大的工业基础。美国的国家实力取决于一个强大的工业部门，能够满足和平时期和战时的生产需求。这不仅需要直接的国防工业生产能力，还需要国防相关生产能力。增强美国的工业实力必须成为国家经济政策的重中之重。,,,
II. What Should the United States Want?,1. What Do We Want Overall?,"We want the world’s most robust, productive, and innovative energy sector—one capable not just of fueling American economic growth but of being one of America’s leading export industries in its own right. ",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,我们希望拥有世界上最强大、最高效、最具创新力的能源部门——一个不仅能够推动美国经济增长，而且本身就能成为美国主要出口产业之一的能源部门。,,,
II. What Should the United States Want?,1. What Do We Want Overall?,"We want to remain the world’s most scientifically and technologically advanced and innovative country, and to build on these strengths. And we want to protect our intellectual property from foreign theft. America’s pioneering spirit is a key pillar of our continued economic dominance and military superiority; it must be preserved. ",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,我们希望继续保持世界科技最先进、最具创新力的国家地位，并在此基础上发展壮大。同时，我们也希望保护我们的知识产权免遭外国窃取。美国的开拓精神是我们持续保持经济主导地位和军事优势的关键支柱，必须予以捍卫。,,,
II. What Should the United States Want?,1. What Do We Want Overall?,"We want to maintain the United States’ unrivaled “soft power” through which we exercise positive influence throughout the world that furthers our interests. In doing so, we will be unapologetic about our country’s past and present while respectful of other countries’ differing religions, cultures, and governing systems. “Soft power” that serves America’s true national interest is effective only if we believe in our country’s inherent greatness and decency.",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,我们希望保持美国无可匹敌的“软实力”，通过这种实力，我们在世界各地施加积极影响，从而增进自身利益。为此，我们将对我国的过去和现在毫不妥协，同时尊重其他国家不同的宗教、文化和政治制度。只有当我们坚信我国固有的伟大和正义时，服务于美国真正国家利益的“软实力”才能有效发挥作用。,,,
II. What Should the United States Want?,1. What Do We Want Overall?,"Finally, we want the restoration and reinvigoration of American spiritual and cultural health, without which long-term security is impossible. We want an America that cherishes its past glories and its heroes, and that looks forward to a new golden age. We want a people who are proud, happy, and optimistic that they will leave their country to the next generation better than they found it. We want a gainfully employed citizenry—with no one sitting on the sidelines—who take satisfaction from knowing that their work is essential to the prosperity of our nation and to the well-being of individuals and families. This cannot be accomplished without growing numbers of strong, traditional families that raise healthy children. ",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,最后，我们希望恢复和振兴美国的精神和文化健康，没有这种健康，长远的安全就无从谈起。我们希望美国珍视过去的辉煌和英雄，并展望新的黄金时代。我们希望美国人民感到自豪、幸福和乐观，相信他们能将国家留给下一代，使其比他们接手时更加美好。我们希望公民都能有稳定的工作——没有人游手好闲——他们能从自己的工作对国家繁荣和个人及家庭福祉的重要性中获得满足感。而这一切，都离不开越来越多健康、传统的家庭，以及他们所养育的健康子女。,,,
II. What Should the United States Want?,2. What Do We Want In and From the World?,Achieving these goals requires marshaling every resource of our national power. Yet this strategy’s focus is foreign policy. What are America’s core foreign policy interests? What do we want in and from the world? ,"We want to ensure that the Western Hemisphere remains reasonably stable and well-governed enough to prevent and discourage mass migration to the United States; we want a Hemisphere whose governments cooperate with us against narco-terrorists, cartels, and other transnational criminal organizations; we want a Hemisphere that remains free of hostile foreign incursion or ownership of key assets, and that supports critical supply chains; and we want to ensure our continued access to key strategic locations. In other words, we will assert and enforce a “Trump Corollary” to the Monroe Doctrine; ",,,二、美国应该想要什么？,2. 我们希望从这个世界获得什么？,实现这些目标需要调动我们国家的一切资源。然而，这项战略的重点是外交政策。美国的核心外交政策利益是什么？我们希望在世界上获得什么，又希望从世界上获得什么？,我们希望确保西半球保持相对稳定和良好的治理，以防止和阻止大规模移民涌入美国；我们希望西半球各国政府与我们合作打击毒品恐怖分子、贩毒集团和其他跨国犯罪组织；我们希望西半球免受敌对外国入侵或关键资产被占有，并支持关键供应链；我们希望确保我们能够继续进入关键战略要地。换言之，我们将主张并执行门罗主义的“特朗普推论”。,,
II. What Should the United States Want?,2. What Do We Want In and From the World?,Achieving these goals requires marshaling every resource of our national power. Yet this strategy’s focus is foreign policy. What are America’s core foreign policy interests? What do we want in and from the world? ,"We want to halt and reverse the ongoing damage that foreign actors inflict on the American economy while keeping the Indo-Pacific free and open, preserving freedom of navigation in all crucial sea lanes, and maintaining secure and reliable supply chains and access to critical materials; ",,,二、美国应该想要什么？,2. 我们希望从这个世界获得什么？,实现这些目标需要调动我们国家的一切资源。然而，这项战略的重点是外交政策。美国的核心外交政策利益是什么？我们希望在世界上获得什么，又希望从世界上获得什么？,我们希望阻止和扭转外国势力对美国经济造成的持续损害，同时保持印太地区的自由开放，维护所有关键海上航道的航行自由，并维持安全可靠的供应链和关键物资的获取；,,
II. What Should the United States Want?,2. What Do We Want In and From the World?,Achieving these goals requires marshaling every resource of our national power. Yet this strategy’s focus is foreign policy. What are America’s core foreign policy interests? What do we want in and from the world? ,"We want to support our allies in preserving the freedom and security of Europe, while restoring Europe’s civilizational self-confidence and Western identity; ",,,二、美国应该想要什么？,2. 我们希望从这个世界获得什么？,实现这些目标需要调动我们国家的一切资源。然而，这项战略的重点是外交政策。美国的核心外交政策利益是什么？我们希望在世界上获得什么，又希望从世界上获得什么？,我们希望支持我们的盟友维护欧洲的自由和安全，同时恢复欧洲的文明自信和西方身份认同；,,
II. What Should the United States Want?,2. What Do We Want In and From the World?,Achieving these goals requires marshaling every resource of our national power. Yet this strategy’s focus is foreign policy. What are America’s core foreign policy interests? What do we want in and from the world? ,"We want to prevent an adversarial power from dominating the Middle East, its oil and gas supplies, and the chokepoints through which they pass while avoiding the “forever wars” that bogged us down in that region at great cost; ",,,二、美国应该想要什么？,2. 我们希望从这个世界获得什么？,实现这些目标需要调动我们国家的一切资源。然而，这项战略的重点是外交政策。美国的核心外交政策利益是什么？我们希望在世界上获得什么，又希望从世界上获得什么？,我们想要阻止敌对势力控制中东、其石油和天然气供应以及这些供应所经过的咽喉要道，同时避免陷入让我们在该地区付出巨大代价的“无休止的战争”；,,
II. What Should the United States Want?,2. What Do We Want In and From the World?,Achieving these goals requires marshaling every resource of our national power. Yet this strategy’s focus is foreign policy. What are America’s core foreign policy interests? What do we want in and from the world? ,"We want to ensure that U.S. technology and U.S. standards—particularly in AI, biotech, and quantum computing—drive the world forward.",,,二、美国应该想要什么？,2. 我们希望从这个世界获得什么？,实现这些目标需要调动我们国家的一切资源。然而，这项战略的重点是外交政策。美国的核心外交政策利益是什么？我们希望在世界上获得什么，又希望从世界上获得什么？,我们希望确保美国的技术和标准——尤其是在人工智能、生物技术和量子计算领域——推动世界向前发展。,,
II. What Should the United States Want?,2. What Do We Want In and From the World?,"These are the United States’ core, vital national interests. While we also have others, these are the interests we must focus on above all others, and that we ignore or neglect at our peril. ",,,,二、美国应该想要什么？,2. 我们希望从这个世界获得什么？,这些是美国的核心、至关重要的国家利益。虽然我们还有其他利益，但这些是我们必须优先关注的利益，忽视或轻视这些利益将使我们付出惨痛的代价。,,,
III. What Are America's Available Means to Get What We Want?,"America retains the world’s most enviable position, with world-leading assets, resources, and advantages, including: ",A still nimble political system that can course correct;,,,,三、美国有哪些途径可以获得我们想要的东西？,美国保持着世界上最令人艳羡的地位，拥有世界领先的资产、资源和优势，其中包括：,一个仍然灵活、能够纠正方向的政治体系；,,,
III. What Are America's Available Means to Get What We Want?,"America retains the world’s most enviable position, with world-leading assets, resources, and advantages, including: ","The world’s single largest and most innovative economy, which both generates wealth we can invest in strategic interests and provides leverage over countries that want access to our markets; ",,,,三、美国有哪些途径可以获得我们想要的东西？,美国保持着世界上最令人艳羡的地位，拥有世界领先的资产、资源和优势，其中包括：,全球规模最大、最具创新力的经济体，既创造了我们可以投资于战略利益的财富，又为那些想要进入我们市场的国家提供了影响力；,,,
III. What Are America's Available Means to Get What We Want?,"America retains the world’s most enviable position, with world-leading assets, resources, and advantages, including: ","The world’s leading financial system and capital markets, including the dollar’s global reserve currency status; ",,,,三、美国有哪些途径可以获得我们想要的东西？,美国保持着世界上最令人艳羡的地位，拥有世界领先的资产、资源和优势，其中包括：,世界领先的金融体系和资本市场，包括美元的全球储备货币地位；,,,
III. What Are America's Available Means to Get What We Want?,"America retains the world’s most enviable position, with world-leading assets, resources, and advantages, including: ","The world’s most advanced, most innovative, and most profitable technology sector, which undergirds our economy, provides a qualitative edge to our military, and strengthens our global influence; ",,,,三、美国有哪些途径可以获得我们想要的东西？,美国保持着世界上最令人艳羡的地位，拥有世界领先的资产、资源和优势，其中包括：,全球最先进、最具创新性和最赚钱的技术行业，支撑着我们的经济，为我们的军队提供了质量优势，并增强了我们的全球影响力；,,,
III. What Are America's Available Means to Get What We Want?,"America retains the world’s most enviable position, with world-leading assets, resources, and advantages, including: ",The world’s most powerful and capable military; ,,,,三、美国有哪些途径可以获得我们想要的东西？,美国保持着世界上最令人艳羡的地位，拥有世界领先的资产、资源和优势，其中包括：,世界上最强大、最有能力的军队；,,,
III. What Are America's Available Means to Get What We Want?,"America retains the world’s most enviable position, with world-leading assets, resources, and advantages, including: ","A broad network of alliances, with treaty allies and partners in the world’s most strategically important regions; ",,,,三、美国有哪些途径可以获得我们想要的东西？,美国保持着世界上最令人艳羡的地位，拥有世界领先的资产、资源和优势，其中包括：,在世界最具战略意义的地区，拥有广泛的联盟网络，包括条约盟友和伙伴；,,,
III. What Are America's Available Means to Get What We Want?,"America retains the world’s most enviable position, with world-leading assets, resources, and advantages, including: ","An enviable geography with abundant natural resources, no competing powers physically dominant in our Hemisphere, borders at no risk of military invasion, and other great powers separated by vast oceans; ",,,,三、美国有哪些途径可以获得我们想要的东西？,美国保持着世界上最令人艳羡的地位，拥有世界领先的资产、资源和优势，其中包括：,我们拥有令人艳羡的地理位置，自然资源丰富，西半球没有其他势力占据绝对优势，边界没有军事入侵的风险，其他大国之间被浩瀚的海洋隔开；,,,
III. What Are America's Available Means to Get What We Want?,"America retains the world’s most enviable position, with world-leading assets, resources, and advantages, including: ",Unmatched “soft power” and cultural influence;,,,,三、美国有哪些途径可以获得我们想要的东西？,美国保持着世界上最令人艳羡的地位，拥有世界领先的资产、资源和优势，其中包括：,无与伦比的“软实力”和文化影响力；,,,
III. What Are America's Available Means to Get What We Want?,"America retains the world’s most enviable position, with world-leading assets, resources, and advantages, including: ","The courage, willpower, and patriotism of the American people. ",,,,三、美国有哪些途径可以获得我们想要的东西？,美国保持着世界上最令人艳羡的地位，拥有世界领先的资产、资源和优势，其中包括：,美国人民的勇气、意志力和爱国精神。,,,
III. What Are America's Available Means to Get What We Want?,"In addition, through President Trump’s robust domestic agenda, the United States is: ","Re-instilling a culture of competence, rooting out so-called “DEI” and other discriminatory and anti-competitive practices that degrade our institutions and hold us back; ",,,,三、美国有哪些途径可以获得我们想要的东西？,此外，通过特朗普总统强有力的国内政策议程，美国正在：,重新建立能力文化，根除所谓的“多元、公平和包容”以及其他歧视性和反竞争性做法，这些做法会损害我们的机构并阻碍我们的发展；,,,
III. What Are America's Available Means to Get What We Want?,"In addition, through President Trump’s robust domestic agenda, the United States is: ","Unleashing our enormous energy production capacity as a strategic priority to fuel growth and innovation, and to bolster and rebuild the middle class; ",,,,三、美国有哪些途径可以获得我们想要的东西？,此外，通过特朗普总统强有力的国内政策议程，美国正在：,将释放我们巨大的能源生产能力作为战略重点，以促进增长和创新，并加强和重建中产阶级；,,,
III. What Are America's Available Means to Get What We Want?,"In addition, through President Trump’s robust domestic agenda, the United States is: ","Reindustrializing our economy, again to further support the middle class and control our own supply chains and production capacities; ",,,,三、美国有哪些途径可以获得我们想要的东西？,此外，通过特朗普总统强有力的国内政策议程，美国正在：,再次推进经济再工业化，以进一步支持中产阶级，并控制我们自身的供应链和生产能力；,,,
III. What Are America's Available Means to Get What We Want?,"In addition, through President Trump’s robust domestic agenda, the United States is: ","Returning economic freedom to our citizens via historic tax cuts and deregulatory efforts, making the United States the premier place to do business and invest capital;",,,,三、美国有哪些途径可以获得我们想要的东西？,此外，通过特朗普总统强有力的国内政策议程，美国正在：,通过历史性的减税和放松管制措施，将经济自由归还给公民，使美国成为经商和投资的首选之地；,,,
III. What Are America's Available Means to Get What We Want?,"In addition, through President Trump’s robust domestic agenda, the United States is: ","Investing in emerging technologies and basic science, to ensure our continued prosperity, competitive advantage, and military dominance for future generations. ",,,,三、美国有哪些途径可以获得我们想要的东西？,此外，通过特朗普总统强有力的国内政策议程，美国正在：,投资于新兴技术和基础科学，以确保我们子孙后代的持续繁荣、竞争优势和军事优势。,,,
III. What Are America's Available Means to Get What We Want?,"The goal of this strategy is to tie together all of these world-leading assets, and others, to strengthen American power and preeminence and make our country even greater than it ever has been. ",,,,,三、美国有哪些途径可以获得我们想要的东西？,该战略的目标是将所有这些世界领先的资源以及其他资源整合起来，以增强美国的实力和霸主地位，使我们的国家比以往任何时候都更加伟大。,,,,
IV. The Strategy,1. Principles,"President Trump’s foreign policy is pragmatic without being “pragmatist,” realistic without being “realist,” principled without being “idealistic,” muscular without being “hawkish,” and restrained without being “dovish.” It is not grounded in traditional, political ideology. It is motivated above all by what works for America—or, in two words, “America First.” ",,,,四、策略,1. 原则,特朗普总统的外交政策务实而不“实用主义”，现实而不“现实主义”，有原则而不“理想主义”，强硬而不“鹰派”，克制而不“鸽派”。它并非基于传统的政治意识形态。它的首要动机是为美国谋利——或者用两个词概括就是“美国优先”。,,,
IV. The Strategy,1. Principles,"President Trump has cemented his legacy as The President of Peace. In addition to the remarkable success achieved during his first term with the historic Abraham Accords, President Trump has leveraged his dealmaking ability to secure unprecedented peace in eight conflicts throughout the world over the course of just eight months of his second term. He negotiated peace between Cambodia and Thailand, Kosovo and Serbia, the DRC and Rwanda, Pakistan and India, Israel and Iran, Egypt and Ethiopia, Armenia and Azerbaijan, and ended the war in Gaza with all living hostages returned to their families. ",,,,四、策略,1. 原则,特朗普总统已巩固了他“和平总统”的形象。除了在第一任期内通过历史性的《亚伯拉罕协议》取得的显著成就外，特朗普总统还凭借其卓越的谈判能力，在第二个任期短短八个月内，促成了全球八场冲突的和平，实现了前所未有的和平。他促成了柬埔寨与泰国、科索沃与塞尔维亚、刚果民主共和国与卢旺达、巴基斯坦与印度、以色列与伊朗、埃及与埃塞俄比亚、亚美尼亚与阿塞拜疆之间的和平，并结束了加沙战争，所有幸存的人质都得以返回家园。,,,
IV. The Strategy,1. Principles,"Stopping regional conflicts before they spiral into global wars that drag down whole continents is worthy of the Commander-in-Chief’s attention, and a priority for this administration. A world on fire, where wars come to our shores, is bad for American interests. President Trump uses unconventional diplomacy, America’s military might, and economic leverage to surgically extinguish embers of division between nuclear-capable nations and violent wars caused by centuries-long hatred. ",,,,四、策略,1. 原则,在地区冲突升级为席卷整个大陆的全球战争之前将其遏制，是三军统帅的当务之急，也是本届政府的优先事项。一个战火纷飞、战火蔓延至美国本土的世界，对美国的利益极为不利。特朗普总统运用非常规外交手段、美国的军事实力和经济影响力，精准地扑灭拥有核武器国家之间因数百年仇恨而引发的分裂余烬，以及由此引发的暴力战争。,,,
IV. The Strategy,1. Principles,"President Trump has proven that American foreign, defense, and intelligence policies must be driven by the following basic principles: ","Focused Definition of the National Interest – Since at least the end of the Cold War, administrations have often published National Security Strategies that seek to expand the definition of America’s “national interest” such that that almost no issue or endeavor is considered outside its scope. But to focus on everything is to focus on nothing. America’s core national security interests shall be our focus. ",,,四、策略,1. 原则,特朗普总统已经证明，美国的对外政策、国防政策和情报政策必须遵循以下基本原则：,对国家利益的明确界定——至少自冷战结束以来，历届政府经常发布国家安全战略，试图扩大美国“国家利益”的定义，以至于几乎所有问题或事业都被纳入其范畴。但面面俱到就等于一无所获。美国的核心国家安全利益才是我们关注的重点。,,
IV. The Strategy,1. Principles,"President Trump has proven that American foreign, defense, and intelligence policies must be driven by the following basic principles: ","Peace Through Strength – Strength is the best deterrent. Countries or other actors sufficiently deterred from threatening American interests will not do so. In addition, strength can enable us to achieve peace, because parties that respect our strength often seek our help and are receptive to our efforts to resolve conflicts and maintain peace. Therefore, the United States must maintain the strongest economy, develop the most advanced technologies, bolster our society’s cultural health, and field the world’s most capable military. ",,,四、策略,1. 原则,特朗普总统已经证明，美国的对外政策、国防政策和情报政策必须遵循以下基本原则：,以实力求和平——实力是最好的威慑。任何威胁美国利益的国家或其他行为体，只要受到足够的威慑，就不会轻易威胁美国利益。此外，实力还能帮助我们实现和平，因为尊重我们实力的各方往往会寻求我们的帮助，并乐于接受我们为解决冲突、维护和平所做的努力。因此，美国必须保持最强劲的经济，发展最先进的技术，增强社会文化健康，并拥有世界上最强大的军队。,,
IV. The Strategy,1. Principles,"President Trump has proven that American foreign, defense, and intelligence policies must be driven by the following basic principles: ","Predisposition to Non-Interventionism – In the Declaration of Independence, America’s founders laid down a clear preference for noninterventionism in the affairs of other nations and made clear the basis: just as all human beings possess God-given equal natural rights, all nations are entitled by “the laws of nature and nature’s God” to a “separate and equal station” with respect to one another. For a country whose interests are as numerous and diverse as ours, rigid adherence to non-interventionism is not possible. Yet this predisposition should set a high bar for what constitutes a justified intervention. ",,,四、策略,1. 原则,特朗普总统已经证明，美国的对外政策、国防政策和情报政策必须遵循以下基本原则：,不干涉主义倾向——在《独立宣言》中，美国的缔造者们明确表达了不干涉他国内政的立场，并阐明了其依据：正如所有人类都拥有上帝赋予的平等自然权利一样，所有国家也都根据“自然法则和自然之神”享有彼此“平等的地位”。对于像我们这样利益众多且多元的国家而言，严格遵守不干涉主义是不可能的。然而，这种倾向应当为何为正当的干涉行为设定很高的标准。,,
IV. The Strategy,1. Principles,"President Trump has proven that American foreign, defense, and intelligence policies must be driven by the following basic principles: ","Flexible Realism – U.S. policy will be realistic about what is possible and desirable to seek in its dealings with other nations. We seek good relations and peaceful commercial relations with the nations of the world without imposing on them democratic or other social change that differs widely from their traditions and histories. We recognize and affirm that there is nothing inconsistent or hypocritical in acting according to such a realistic assessment or in maintaining good relations with countries whose governing systems and societies differ from ours even as we push like-minded friends to uphold our shared norms, furthering our interests as we do so. ",,,四、策略,1. 原则,特朗普总统已经证明，美国的对外政策、国防政策和情报政策必须遵循以下基本原则：,灵活现实主义——美国政策将秉持务实态度，在与其他国家交往中，既要考虑可行性，也要考虑可取之处。我们寻求与世界各国建立良好关系和和平的商业关系，但不会强加于它们，使其接受与其传统和历史大相径庭的民主或其他社会变革。我们认识到并重申，在遵循这种务实评估的同时，与那些政体和社会与我们不同的国家保持良好关系，并敦促志同道合的朋友维护我们共同的准则，从而增进我们自身的利益，这并不自相矛盾，也不虚伪。,,
